iperf run number,Server Port,Client Port
64306,3168,49460
64307,3192,49468
64308,3196,49478
64309,3186,49486
64310,3168,39594
64312,3193,39610
64313,3189,39618
64314,3181,39626
64318,3197,38950
64319,3198,38958
64320,3179,38966
64322,3198,38982
64324,3179,44910
64325,3169,44918
64327,3187,44934
64328,3191,44942
64329,3169,44550
64330,3180,44558
64331,3194,44570
64332,3198,44580
64334,3172,40438
64340,3194,40488
64342,3172,40504
64345,3169,40528
64346,3181,39990
64347,3174,39998
64348,3172,40006
64349,3168,40014
64352,3181,44776
64353,3191,44784
64354,3170,44794
64355,3183,44802
64356,3173,49886
64359,3197,49914
64361,3173,49930
64362,3187,49938
64363,3174,40044
64364,3186,40052
64365,3183,40060
64366,3195,40068
64372,3170,39410
64377,3175,39450
64381,3194,39484
64382,3173,39494
64385,3187,45432
64386,3168,45440
64387,3189,45448
64388,3195,45456
64389,3185,45064
64390,3199,45072
64391,3188,45080
64392,3184,45088
64393,3185,40938
64397,3183,40972
64399,3196,40988
64421,3183,41188
64406,3190,40500
64407,3170,40508
64408,3193,40516
64413,3181,40568
64414,3170,45314
64417,3180,45338
64418,3173,45348
64419,3174,45356
64473,6309,40150
64474,6314,40166
64476,6307,37970
64479,6312,37994
64480,6323,39390
64481,6305,39398
64487,6328,45792
64491,6325,45824
64492,6306,45234
64495,6327,45262
64498,6306,47658
64500,6324,47674
64511,6327,40912
64508,6332,40888
64483,6311,44130
64484,6308,44138
64514,6311,41006
64515,6318,41014
64516,6325,38808
64517,6320,38822
64518,6323,40220
64519,6326,40230
64520,6334,44952
64521,6320,44960
64522,6322,46596
64523,6308,46604
64527,6319,46038
64529,6307,46054
64531,6332,48436
64539,6309,48508
64537,6329,41304
64538,6319,41312
