Probe Number,RTT [ms],Probe Send Time,IP Address,Hostname,TTL,AS Number,AS Name,Country Name,Country Code,Time Zone,Region,City,Latitude,Longitude
1,76.6,11:42:40,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
2,35.7,11:42:41,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
3,73.8,11:42:42,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
4,35.0,11:42:43,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
5,71.1,11:42:44,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
6,32.1,11:42:45,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
7,138.3,11:42:46,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
8,100.7,11:42:47,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
9,66.2,11:42:48,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
10,92.1,11:42:49,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
11,64.5,11:42:50,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
12,23.7,11:42:51,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
13,61.4,11:42:52,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
14,103.6,11:42:53,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
15,59.1,11:42:54,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
16,99.0,11:42:55,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
17,53.6,11:42:56,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
18,98.5,11:42:57,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
19,50.7,11:42:58,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
20,89.8,11:42:59,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
21,19.9,11:43:00,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
22,92.2,11:43:01,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
23,45.6,11:43:02,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
24,147.9,11:43:03,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
25,41.7,11:43:04,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
26,142.9,11:43:05,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
27,37.8,11:43:06,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
28,79.9,11:43:07,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
29,34.2,11:43:08,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
30,78.5,11:43:09,52.237.164.255,,47,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,US,America/Chicago,IL,Chicago,41.85,-87.65
